date,zip,er_visits,max_heat_index
2022-06-01,10453,26,88.3
2022-06-02,10453,31,94.3
2022-06-03,10453,28,90.9
2022-06-04,10453,34,82.5
2022-06-05,10453,33,84.0
2022-06-06,10453,29,83.5
2022-06-07,10453,30,82.3
2022-06-08,10453,25,79.2
2022-06-09,10453,26,83.2
2022-06-10,10453,37,88.7
2022-06-11,10453,36,98.2
2022-06-12,10453,34,91.4
2022-06-13,10453,31,93.3
2022-06-14,10453,34,91.0
2022-06-15,10453,27,83.7
2022-06-16,10453,24,86.8
2022-06-17,10453,36,87.5
2022-06-18,10453,28,81.1
2022-06-19,10453,32,80.3
2022-06-20,10453,34,88.4
2022-06-21,10453,28,93.2
2022-06-22,10453,33,93.1
2022-06-23,10453,30,78.8
2022-06-24,10453,31,88.1
2022-06-25,10453,37,95.2
2022-06-26,10453,34,90.0
2022-06-27,10453,25,87.0
2022-06-28,10453,42,96.8
2022-06-29,10453,31,87.7
2022-06-30,10453,25,79.6
2022-07-01,10453,25,91.2
2022-07-02,10453,37,95.1
2022-07-03,10453,31,92.3
2022-07-04,10453,29,86.0
2022-07-05,10453,23,93.1
2022-07-06,10453,32,84.5
2022-07-07,10453,29,80.2
2022-07-08,10453,34,84.9
2022-07-09,10453,24,91.2
2022-07-10,10453,31,85.9
2022-07-11,10453,38,96.1
2022-07-12,10453,40,97.4
2022-07-13,10453,30,84.6
2022-07-14,10453,31,88.3
2022-07-15,10453,19,88.0
2022-07-16,10453,36,99.9
2022-07-17,10453,28,78.6
2022-07-18,10453,29,85.0
2022-07-19,10453,33,84.3
2022-07-20,10453,39,98.6
2022-07-21,10453,35,86.4
2022-07-22,10453,49,88.3
2022-07-23,10453,24,80.9
2022-07-24,10453,31,80.7
2022-07-25,10453,35,86.9
2022-07-26,10453,26,90.7
2022-07-27,10453,37,91.1
2022-07-28,10453,39,90.1
2022-07-29,10453,36,86.2
2022-07-30,10453,33,85.5
2022-07-31,10453,25,96.2
2022-08-01,10453,35,85.5
2022-08-02,10453,27,84.8
2022-08-03,10453,40,93.3
2022-08-04,10453,34,84.3
2022-08-05,10453,32,84.0
2022-08-06,10453,26,79.2
2022-08-07,10453,22,94.1
2022-08-08,10453,28,88.4
2022-08-09,10453,19,84.5
2022-08-10,10453,20,93.5
2022-08-11,10453,24,85.7
2022-08-12,10453,24,93.9
2022-08-13,10453,40,97.3
2022-08-14,10453,24,92.3
2022-08-15,10453,31,88.1
2022-08-16,10453,21,94.9
2022-08-17,10453,40,96.2
2022-08-18,10453,31,92.3
2022-08-19,10453,25,90.5
2022-08-20,10453,34,85.8
2022-08-21,10453,22,80.4
2022-08-22,10453,31,80.3
2022-08-23,10453,28,86.6
2022-08-24,10453,33,90.9
2022-08-25,10453,29,89.5
2022-08-26,10453,23,89.0
2022-08-27,10453,27,87.4
2022-08-28,10453,21,86.4
2022-08-29,10453,24,87.1
2022-08-30,10453,22,91.9
2022-08-31,10453,19,86.6
2022-06-01,10454,37,95.4
2022-06-02,10454,33,96.7
2022-06-03,10454,30,81.5
2022-06-04,10454,34,87.6
2022-06-05,10454,22,84.4
2022-06-06,10454,28,91.6
2022-06-07,10454,33,94.1
2022-06-08,10454,38,97.4
2022-06-09,10454,25,93.7
2022-06-10,10454,33,85.6
2022-06-11,10454,40,84.7
2022-06-12,10454,23,87.4
2022-06-13,10454,25,79.9
2022-06-14,10454,27,90.5
2022-06-15,10454,31,90.6
2022-06-16,10454,31,85.2
2022-06-17,10454,28,80.1
2022-06-18,10454,30,79.7
2022-06-19,10454,36,93.4
2022-06-20,10454,28,99.1
2022-06-21,10454,23,84.3
2022-06-22,10454,27,80.6
2022-06-23,10454,31,93.6
2022-06-24,10454,34,86.6
2022-06-25,10454,20,90.2
2022-06-26,10454,29,88.5
2022-06-27,10454,29,92.3
2022-06-28,10454,30,83.7
2022-06-29,10454,34,86.1
2022-06-30,10454,28,88.4
2022-07-01,10454,39,97.6
2022-07-02,10454,24,85.7
2022-07-03,10454,34,85.1
2022-07-04,10454,28,90.3
2022-07-05,10454,23,91.1
2022-07-06,10454,35,98.7
2022-07-07,10454,31,85.6
2022-07-08,10454,34,81.0
2022-07-09,10454,31,90.6
2022-07-10,10454,32,81.6
2022-07-11,10454,24,87.0
2022-07-12,10454,22,81.3
2022-07-13,10454,27,75.1
2022-07-14,10454,33,87.6
2022-07-15,10454,27,81.5
2022-07-16,10454,35,89.2
2022-07-17,10454,26,87.4
2022-07-18,10454,30,87.2
2022-07-19,10454,32,78.6
2022-07-20,10454,30,90.3
2022-07-21,10454,32,87.4
2022-07-22,10454,28,89.0
2022-07-23,10454,21,81.3
2022-07-24,10454,27,85.7
2022-07-25,10454,34,94.1
2022-07-26,10454,20,88.2
2022-07-27,10454,17,91.5
2022-07-28,10454,35,94.5
2022-07-29,10454,40,92.6
2022-07-30,10454,34,85.6
2022-07-31,10454,22,88.3
2022-08-01,10454,31,91.6
2022-08-02,10454,34,94.6
2022-08-03,10454,29,82.0
2022-08-04,10454,30,92.1
2022-08-05,10454,28,86.8
2022-08-06,10454,36,87.5
2022-08-07,10454,29,91.5
2022-08-08,10454,43,99.7
2022-08-09,10454,34,89.2
2022-08-10,10454,32,81.4
2022-08-11,10454,35,83.7
2022-08-12,10454,28,85.4
2022-08-13,10454,31,86.4
2022-08-14,10454,32,96.8
2022-08-15,10454,47,95.1
2022-08-16,10454,27,87.6
2022-08-17,10454,27,85.7
2022-08-18,10454,40,84.8
2022-08-19,10454,28,90.4
2022-08-20,10454,27,80.4
2022-08-21,10454,29,91.6
2022-08-22,10454,33,86.6
2022-08-23,10454,29,86.6
2022-08-24,10454,42,80.1
2022-08-25,10454,32,87.0
2022-08-26,10454,33,85.3
2022-08-27,10454,36,93.1
2022-08-28,10454,39,82.8
2022-08-29,10454,39,84.7
2022-08-30,10454,23,82.5
2022-08-31,10454,36,88.4
2022-06-01,11212,39,85.8
2022-06-02,11212,29,81.1
2022-06-03,11212,26,87.3
2022-06-04,11212,26,91.7
2022-06-05,11212,33,78.2
2022-06-06,11212,37,74.2
2022-06-07,11212,35,87.7
2022-06-08,11212,25,94.9
2022-06-09,11212,29,84.4
2022-06-10,11212,20,82.2
2022-06-11,11212,39,96.2
2022-06-12,11212,33,85.3
2022-06-13,11212,28,90.0
2022-06-14,11212,26,86.6
2022-06-15,11212,22,92.6
2022-06-16,11212,26,88.7
2022-06-17,11212,39,95.7
2022-06-18,11212,28,85.5
2022-06-19,11212,30,83.4
2022-06-20,11212,30,84.6
2022-06-21,11212,29,94.1
2022-06-22,11212,35,91.9
2022-06-23,11212,33,92.1
2022-06-24,11212,27,85.6
2022-06-25,11212,33,91.9
2022-06-26,11212,42,96.2
2022-06-27,11212,20,91.3
2022-06-28,11212,27,87.1
2022-06-29,11212,25,92.0
2022-06-30,11212,29,88.2
2022-07-01,11212,33,89.5
2022-07-02,11212,31,84.0
2022-07-03,11212,24,91.6
2022-07-04,11212,30,84.1
2022-07-05,11212,33,93.5
2022-07-06,11212,31,90.9
2022-07-07,11212,35,88.6
2022-07-08,11212,24,92.6
2022-07-09,11212,31,89.5
2022-07-10,11212,28,80.5
2022-07-11,11212,36,92.9
2022-07-12,11212,21,91.8
2022-07-13,11212,36,90.7
2022-07-14,11212,30,87.8
2022-07-15,11212,25,89.0
2022-07-16,11212,26,87.1
2022-07-17,11212,32,74.9
2022-07-18,11212,25,93.8
2022-07-19,11212,36,88.6
2022-07-20,11212,30,84.7
2022-07-21,11212,35,81.2
2022-07-22,11212,35,89.2
